CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
LISANDRO DE LA TORRE AV.,"3095","3095 DE LA TORRE, LISANDRO AV.",-58.49397,-34.667798,"9",MATADEROS,"80",I,,,,,,,,,,
2 DE ABRIL DE 1982,"6701",2 DE ABRIL DE 1982 6701,-58.490959,-34.677783,"8",VILLA LUGANO,"50",I,"185",I,,,,,,,,
CNEL. NICETO VEGA AV.,"4656",4656 AV. NICETO VEGA,-58.429425,-34.593629,"14",PALERMO,"151",V,"168",V,,,,,,,,
MANUEL RICARDO TRELLES,"1910","1910 TRELLES, MANUEL R.",-58.465097,-34.605969,"11",VILLA GRAL MITRE,"44",V,,,,,,,,,,
MANUEL RICARDO TRELLES,"2118","2118 TRELLES, MANUEL R.",-58.466253,-34.603756,"11",VILLA GRAL MITRE,"44",V,,,,,,,,,,
MANUEL RICARDO TRELLES,"1062",Manuel Trelles 1062,-58.460597,-34.614683,"7",FLORES,"76",V,,,,,,,,,,
RIO DE JANEIRO,"26",Rio de Janeiro 26,-58.430106,-34.615065,"6",CABALLITO,"119",I,,,,,,,,,,
FRANCISCO BEIRO AV.,"4532","4532 BEIRO, FRANCISCO AV.",-58.514604,-34.607665,"11",VILLA DEVOTO,"85",V,"108",V,,,,,,,,
SEGUROLA AV.,"3785",AV.segurola 3785,-58.515352,-34.603945,"11",VILLA DEVOTO,"108",V,,,,,,,,,,
COSTANERA RAFAEL OBLIGADO AV.,"1201",Ac costanera 1201,-58.393233,-34.572213,"14",RECOLETA,"37",,"160",,,,,,,,,
ACASSUSO,"7187",acassuso 7187,-58.519274,-34.653417,"9",LINIERS,"4",V,,,,,,,,,,
GRAL. MARIANO ACHA,"3591",Acha Mariano 3591,-58.487602,-34.560143,"12",SAAVEDRA,"41",I,"93",V,,,,,,,,
ACHALA,"3679",achala 3679,-58.415381,-34.642257,"4",NUEVA POMPEYA,"31",I,"75",I,,,,,,,,
ACOYTE AV.,"1081",ACOYTE 1081,-58.440079,-34.606139,"6",CABALLITO,"92",V,"99",I,,,,,,,,
ACOYTE AV.,"779",ACOYTE AV. 779,-58.439869,-34.609208,"6",CABALLITO,"55",V,,,,,,,,,,
AGRELO,"3359",AGRELO 3359,-58.413556,-34.618123,"5",ALMAGRO,"84",I,,,,,,,,,,
